{ A1: 21.8, A2: 19, B7: 10, C14: 95 }
{ A1: 21.8, A2: 19, B7: 10, C14: 88 }
{ A1: 21.8, A2: 19, B7: 10, C14: 90 }
{ A1: 21.8, A2: 19, B7: 10, C14: 88 }
{ A1: 21.8, A2: 19, B7: 10, C14: 85 }
{ A1: 22.3, A2: 35, B7: 14, C14: 95 }
{ A1: 22.9, A2: 32, B7: 100, C14: 99 }
{ A1: 23.4, A2: 17, B7: 101, C14: 93 }
{ A1: 23.8, A2: 18, B7: 101, C14: 89 }
{ A1: 24, A2: 19, B7: 101, C14: 96 }
{ A1: 24.1, A2: 19, B7: 102, C14: 99 }
{ A1: 24.1, A2: 19, B7: 102, C14: 100 }
{ A1: 24.1, A2: 19, B7: 102, C14: 91 }
{ A1: 24, A2: 19, B7: 103, C14: 96 }
{ A1: 24, A2: 19, B7: 103, C14: 93 }
{ A1: 24, A2: 19, B7: 103, C14: 102 }
{ A1: 23.9, A2: 19, B7: 103, C14: 94 }
{ A1: 23.8, A2: 19, B7: 103, C14: 97 }
{ A1: 23.7, A2: 19, B7: 103, C14: 97 }
{ A1: 23.8, A2: 19, B7: 103, C14: 99 }
{ A1: 23.8, A2: 19, B7: 103, C14: 91 }
{ A1: 23.8, A2: 19, B7: 103, C14: 94 }
{ A1: 23.7, A2: 19, B7: 103, C14: 93 }
{ A1: 23.8, A2: 19, B7: 104, C14: 94 }
{ A1: 23.8, A2: 19, B7: 104, C14: 93 }
{ A1: 23.7, A2: 19, B7: 104, C14: 101 }
{ A1: 23.7, A2: 19, B7: 104, C14: 96 }
{ A1: 23.6, A2: 19, B7: 104, C14: 92 }
{ A1: 23.5, A2: 19, B7: 104, C14: 99 }
{ A1: 23.5, A2: 19, B7: 104, C14: 92 }
{ A1: 23.6, A2: 19, B7: 104, C14: 92 }
{ A1: 23.6, A2: 19, B7: 104, C14: 99 }
{ A1: 23.6, A2: 19, B7: 104, C14: 94 }
{ A1: 23.6, A2: 19, B7: 104, C14: 100 }
{ A1: 23.6, A2: 19, B7: 104, C14: 100 }
{ A1: 23.5, A2: 19, B7: 104, C14: 100 }
{ A1: 23.4, A2: 19, B7: 104, C14: 96 }
{ A1: 23.3, A2: 19, B7: 104, C14: 91 }
{ A1: 23.2, A2: 19, B7: 104, C14: 92 }
{ A1: 23.1, A2: 19, B7: 104, C14: 92 }
{ A1: 23, A2: 19, B7: 104, C14: 89 }
{ A1: 23, A2: 19, B7: 104, C14: 92 }
{ A1: 23.1, A2: 19, B7: 105, C14: 100 }
{ A1: 23.1, A2: 19, B7: 105, C14: 90 }
{ A1: 23.2, A2: 19, B7: 105, C14: 100 }
{ A1: 24.5, A2: 19, B7: 3, C14: 20 }
